candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender
NGON,http://myneta.info/2008Nagaland/candidate.php?candidate_id=204,Noklak,BJP,0,12th Pass,4071194,0,4071194,56,ST,TUENSANG,NA,,false,false,Male
NILLO,http://myneta.info/2008Nagaland/candidate.php?candidate_id=44,Tseminyu,INC,0,Post Graduate,1303905,0,1303905,12,ST,KOHIMA,NA,,false,false,Male
NKHAO LOTHA,http://myneta.info/2008Nagaland/candidate.php?candidate_id=142,Sanis,RJD,1,8th Pass,6671622,0,6671622,39,ST,WOKHA,NA,,false,false,Male
NOKE,http://myneta.info/2008Nagaland/candidate.php?candidate_id=154,Tapi,NPF,0,10th Pass,1345000,0,1345000,43,ST,MON,NA,,false,false,Male
NOKZENKETBA,http://myneta.info/2008Nagaland/candidate.php?candidate_id=96,Mokokchung Town,NPF,0,Graduate,112240000,0,112240000,27,ST,MOKOKCHUNG,NA,,false,false,Male
NUKLUTOSHI,http://myneta.info/2008Nagaland/candidate.php?candidate_id=110,Arkakong,NPF,0,Graduate,409745000,0,409745000,22,ST,MOKOKCHUNG,NA,,false,false,Male
NUNGSANGLEMBA CHANG,http://myneta.info/2008Nagaland/candidate.php?candidate_id=194,Tuensang Sadar-I,BJP,0,Graduate,1505000,0,1505000,53,ST,TUENSANG,NA,,false,false,Male
NUNGSANGYAPANG,http://myneta.info/2008Nagaland/candidate.php?candidate_id=107,Impur,INC,0,Graduate,938842,0,938842,23,ST,MOKOKCHUNG,NA,,false,false,Male
NUNGSHIZENBA,http://myneta.info/2008Nagaland/candidate.php?candidate_id=97,Aonglenden,INC,0,10th Pass,51228696,5860686,45368010,26,ST,MOKOKCHUNG,NA,,false,false,Male
NYEIWANG,http://myneta.info/2008Nagaland/candidate.php?candidate_id=166,Aboi,NPF,0,Graduate,780000,0,780000,47,ST,MON,NA,,false,false,Male
NYEMLI,http://myneta.info/2008Nagaland/candidate.php?candidate_id=183,Tamlu,NPF,0,12th Pass,825000,0,825000,49,ST,LONGLENG,NA,,false,false,Male
