State_Name,Year,month,Assembly_No,DelimID,Constituency_No,Position,Candidate,Sex,Party,Votes,Age,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,District_Name,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin_Percentage,ENOP
Himachal_Pradesh,2012,2,12,4,10,5,HARPAL SINGH JASWAL,M,IND,838,42,GEN,47022,70424,DEHRA,GEN,KANGRA,BEAS RIVER REGION,16,66.77,1.78,yes,0.32,2.7
Himachal_Pradesh,2012,2,12,4,10,2,YOG RAJ,M,IND,9170,77,GEN,47022,70424,DEHRA,GEN,KANGRA,BEAS RIVER REGION,16,66.77,19.5,no,3.26,2.7
Himachal_Pradesh,2012,2,12,4,10,6,RAJESH KUMAR,M,IND,689,39,GEN,47022,70424,DEHRA,GEN,KANGRA,BEAS RIVER REGION,16,66.77,1.47,yes,0.64,2.7
Himachal_Pradesh,2012,2,12,4,10,7,ONKAR CHAND THAKUR,M,IND,387,71,GEN,47022,70424,DEHRA,GEN,KANGRA,BEAS RIVER REGION,16,66.77,0.82,yes,0.06,2.7
Himachal_Pradesh,2012,2,12,4,10,8,VIJAY KUMAR,M,IND,361,29,GEN,47022,70424,DEHRA,GEN,KANGRA,BEAS RIVER REGION,16,66.77,0.77,yes,0,2.7
Himachal_Pradesh,2012,2,12,4,10,9,SATISH KUMAR,M,IND,360,35,GEN,47022,70424,DEHRA,GEN,KANGRA,BEAS RIVER REGION,16,66.77,0.77,yes,0.07,2.7
Himachal_Pradesh,2012,2,12,4,11,3,NAVEEN DHIMAN,M,HLP,6982,35,SC,46909,68140,JASWAN-PRAGPUR,GEN,KANGRA,BEAS RIVER REGION,8,68.84,14.88,yes,13.14,2.86
Himachal_Pradesh,2012,2,12,4,11,4,DINESH KUMAR,M,HiSP,818,42,GEN,46909,68140,JASWAN-PRAGPUR,GEN,KANGRA,BEAS RIVER REGION,8,68.84,1.74,yes,0.91,2.86
Himachal_Pradesh,2012,2,12,4,11,1,BIKRAM SINGH,M,BJP,22000,48,GEN,46909,68140,JASWAN-PRAGPUR,GEN,KANGRA,BEAS RIVER REGION,8,68.84,46.9,no,12.99,2.86
Himachal_Pradesh,2012,2,12,4,11,6,OM PRAKASH,M,IND,381,63,GEN,46909,68140,JASWAN-PRAGPUR,GEN,KANGRA,BEAS RIVER REGION,8,68.84,0.81,yes,0.16,2.86
Himachal_Pradesh,2012,2,12,4,11,7,RAJINDER SINGH,M,BSP,307,61,SC,46909,68140,JASWAN-PRAGPUR,GEN,KANGRA,BEAS RIVER REGION,8,68.84,0.65,yes,0.39,2.86
Himachal_Pradesh,2012,2,12,4,11,8,BHAG SINGH RANA,M,SP,123,61,GEN,46909,68140,JASWAN-PRAGPUR,GEN,KANGRA,BEAS RIVER REGION,8,68.84,0.26,yes,0,2.86
Himachal_Pradesh,2012,2,12,4,11,5,RAJINDER KUMAR,M,AITC,391,37,GEN,46909,68140,JASWAN-PRAGPUR,GEN,KANGRA,BEAS RIVER REGION,8,68.84,0.83,yes,0.02,2.86
Himachal_Pradesh,2012,2,12,4,11,2,NIKHIL RAJOUR,M,INC,15907,57,GEN,46909,68140,JASWAN-PRAGPUR,GEN,KANGRA,BEAS RIVER REGION,8,68.84,33.91,no,19.03,2.86
Himachal_Pradesh,2012,2,12,4,12,1,SANJAY RATTAN,M,INC,24929,49,GEN,46830,65474,JAWALAMUKHI,GEN,KANGRA,BEAS RIVER REGION,5,71.52,53.23,no,8.59,2.08
Himachal_Pradesh,2012,2,12,4,12,3,DR MADHU GUPTA,F,AITC,410,62,GEN,46830,65474,JAWALAMUKHI,GEN,KANGRA,BEAS RIVER REGION,5,71.52,0.88,yes,0.17,2.08
Himachal_Pradesh,2012,2,12,4,12,4,PARKASH CHAND,M,BSP,332,60,GEN,46830,65474,JAWALAMUKHI,GEN,KANGRA,BEAS RIVER REGION,5,71.52,0.71,yes,0.16,2.08
Himachal_Pradesh,2012,2,12,4,12,5,MOHINDER SINGH,M,IND,255,60,GEN,46830,65474,JAWALAMUKHI,GEN,KANGRA,BEAS RIVER REGION,5,71.52,0.54,yes,0,2.08
Himachal_Pradesh,2012,2,12,4,12,2,RAMESH CHAND,M,BJP,20904,61,GEN,46830,65474,JAWALAMUKHI,GEN,KANGRA,BEAS RIVER REGION,5,71.52,44.64,no,43.76,2.08
Himachal_Pradesh,2012,2,12,4,13,1,YADVINDER GOMA,M,INC,22233,26,SC,45274,74165,JAISINGHPUR,SC,KANGRA,BEAS RIVER REGION,9,61.04,49.11,no,21.5,2.78
Himachal_Pradesh,2012,2,12,4,13,2,ATMA RAM,M,BJP,12498,78,SC,45274,74165,JAISINGHPUR,SC,KANGRA,BEAS RIVER REGION,9,61.04,27.61,no,9.92,2.78
Himachal_Pradesh,2012,2,12,4,13,3,"RAVINDER ""RAVI DHIMAN""",M,IND,8006,51,SC,45274,74165,JAISINGHPUR,SC,KANGRA,BEAS RIVER REGION,9,61.04,17.68,no,15.89,2.78
Himachal_Pradesh,2012,2,12,4,13,4,JAGO RAM,M,BSP,810,62,SC,45274,74165,JAISINGHPUR,SC,KANGRA,BEAS RIVER REGION,9,61.04,1.79,yes,0.44,2.78
Himachal_Pradesh,2012,2,12,4,13,5,"GIRDHARI SINGH ""DHARI""",M,IND,609,44,SC,45274,74165,JAISINGHPUR,SC,KANGRA,BEAS RIVER REGION,9,61.04,1.35,yes,0.34,2.78
Himachal_Pradesh,2012,2,12,4,13,6,BACHAN SINGH,M,HLP,456,51,SC,45274,74165,JAISINGHPUR,SC,KANGRA,BEAS RIVER REGION,9,61.04,1.01,yes,0.44,2.78
Himachal_Pradesh,2012,2,12,4,13,9,VIJAY KUMAR,M,LJP,155,40,SC,45274,74165,JAISINGHPUR,SC,KANGRA,BEAS RIVER REGION,9,61.04,0.34,yes,0,2.78
Himachal_Pradesh,2012,2,12,4,13,8,JITENDER KUMAR,M,SP,252,29,SC,45274,74165,JAISINGHPUR,SC,KANGRA,BEAS RIVER REGION,9,61.04,0.56,yes,0.21,2.78
Himachal_Pradesh,2012,2,12,4,13,7,DINESH KUMAR,M,IND,255,60,SC,45274,74165,JAISINGHPUR,SC,KANGRA,BEAS RIVER REGION,9,61.04,0.56,yes,0.01,2.78
Himachal_Pradesh,2012,2,12,4,14,4,DEEPAK NAG,M,HLP,677,43,GEN,62507,89293,SULLAH,GEN,KANGRA,BEAS RIVER REGION,8,70,1.08,yes,0.34,2.17
Himachal_Pradesh,2012,2,12,4,14,5,BRIJ LAL,M,AITC,465,67,GEN,62507,89293,SULLAH,GEN,KANGRA,BEAS RIVER REGION,8,70,0.74,yes,0.2,2.17
Himachal_Pradesh,2012,2,12,4,14,6,SANJAY KUMAR,M,BSP,339,31,GEN,62507,89293,SULLAH,GEN,KANGRA,BEAS RIVER REGION,8,70,0.54,yes,0.04,2.17
Himachal_Pradesh,2012,2,12,4,14,8,KISHAN CHAND,M,SP,100,61,GEN,62507,89293,SULLAH,GEN,KANGRA,BEAS RIVER REGION,8,70,0.16,yes,0,2.17
Himachal_Pradesh,2012,2,12,4,14,2,VIPIN SINGH PARMAR,M,BJP,27677,49,GEN,62507,89293,SULLAH,GEN,KANGRA,BEAS RIVER REGION,8,70,44.28,no,42.95,2.17
Himachal_Pradesh,2012,2,12,4,14,1,JAGJIWAN PAUL,M,INC,32105,58,GEN,62507,89293,SULLAH,GEN,KANGRA,BEAS RIVER REGION,8,70,51.36,no,7.08,2.17
Himachal_Pradesh,2012,2,12,4,14,7,MANOJ KUMAR,M,LJP,316,28,GEN,62507,89293,SULLAH,GEN,KANGRA,BEAS RIVER REGION,8,70,0.51,yes,0.35,2.17
Himachal_Pradesh,2012,2,12,4,14,3,ASHOK KUMAR KATOCH,M,CPM,828,55,GEN,62507,89293,SULLAH,GEN,KANGRA,BEAS RIVER REGION,8,70,1.32,yes,0.24,2.17
