candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_assets_change_pct,recontest_remarks,party_eci
Rajeshbhai Dharamdas Arya,http://myneta.info/Gujarat2017/candidate.php?candidate_id=4077,VAGRA,JD(U),0,10th Pass,164526,0,164526,151,GEN,Bharuch,Central Gujarat,false,true,false,Male,NA,NA,NA,NA,NA,NA,Janata Dal (United)
Rajeshbhai Lallubhai Solanki,http://myneta.info/Gujarat2017/candidate.php?candidate_id=4199,BARDOLI (SC),IND,0,12th Pass,84807,0,84807,169,SC,Surat,South Gujarat,false,false,false,Male,NA,NA,NA,NA,NA,NA,Independent
Rajeshkumar Somabhai Datta,http://myneta.info/Gujarat2017/candidate.php?candidate_id=4774,SANAND,IND,0,Graduate Professional,16390000,416000,15974000,40,GEN,Ahmedabad,Central Gujarat,true,true,false,Male,NA,NA,NA,NA,NA,NA,Independent
Rajguru Indranilbhai Sanjaybhai,http://myneta.info/Gujarat2017/candidate.php?candidate_id=4266,RAJKOT WEST,INC,4,12th Pass,1412283775,454677532,957606243,69,GEN,Rajkot,Saurashtra,true,true,true,Male,http://myneta.info/Gujarat2017/index.php?action=affidavitComparison&myneta_folder2=gujarat2012&id1=4266&id2=647,1412283775,1225948836,186334939,15%,NA,Indian National Congress
Rajnikant Nanubhai Desai,http://myneta.info/Gujarat2017/candidate.php?candidate_id=3951,VALSAD,Lok Vikas Manch,0,Post Graduate,38643316,0,38643316,179,GEN,Valsad,South Gujarat,true,true,false,Male,NA,NA,NA,NA,NA,NA,Lok Vikas Manch
Rajpara Maganbhai Jadavbhai,http://myneta.info/Gujarat2017/candidate.php?candidate_id=4627,JASDAN,IND,0,5th Pass,5171000,100000,5071000,72,GEN,Rajkot,Saurashtra,false,false,false,Male,NA,NA,NA,NA,NA,NA,Independent
Rajpara Manubhai Savsibhai,http://myneta.info/Gujarat2017/candidate.php?candidate_id=3691,JASDAN,All India Hindustan Congress Party,0,Literate,11749000,70000,11679000,72,GEN,Rajkot,Saurashtra,false,true,false,Male,NA,NA,NA,NA,NA,NA,All India Hindustan Congress Party
Rajpura Lalitkumar Dhanjibhai,http://myneta.info/Gujarat2017/candidate.php?candidate_id=5439,ASARWA (SC),IND,0,10th Pass,20000,140000,-120000,56,SC,Ahmedabad,Central Gujarat,false,true,false,Male,NA,NA,NA,NA,NA,NA,Independent
Rajput Arvind Uttamsinh,http://myneta.info/Gujarat2017/candidate.php?candidate_id=3846,CHORYASI,SHS,0,5th Pass,392703,0,392703,168,GEN,Surat,South Gujarat,true,true,false,Male,NA,NA,NA,NA,NA,NA,Shivsena
Rajput Damraji Devjibhai,http://myneta.info/Gujarat2017/candidate.php?candidate_id=5480,THARAD,INC,2,12th Pass,72544104,12814094,59730010,8,GEN,Banaskantha,North Gujarat,true,true,true,Male,NA,NA,NA,NA,NA,NA,Indian National Congress
Rajput Jagroopsinh Girdansinh,http://myneta.info/Gujarat2017/candidate.php?candidate_id=5415,BAPUNAGAR,BJP,1,Graduate Professional,15892759,1641014,14251745,49,GEN,Ahmedabad,Central Gujarat,true,true,false,Male,http://myneta.info/Gujarat2017/index.php?action=affidavitComparison&myneta_folder2=gujarat2012&id1=5415&id2=1587,15892759,8582696,7310063,85%,NA,Bharatiya Janata Party
Rajput Mukeshsinh Natvarsinh,http://myneta.info/Gujarat2017/candidate.php?candidate_id=5231,MANJALPUR,IND,0,8th Pass,3365000,0,3365000,145,GEN,Vadodara,Central Gujarat,false,true,false,Male,NA,NA,NA,NA,NA,NA,Independent
Rajput Narsinhji Babuji,http://myneta.info/Gujarat2017/candidate.php?candidate_id=5585,DHANERA,IND,0,10th Pass,4671353,229000,4442353,9,GEN,Banaskantha,North Gujarat,true,true,false,Male,NA,NA,NA,NA,NA,NA,Independent
Rajput Rahulsinh Kishorsinh,http://myneta.info/Gujarat2017/candidate.php?candidate_id=5697,NARODA,SHS,0,Graduate Professional,15601097,6000000,9601097,47,GEN,Ahmedabad,Central Gujarat,true,true,false,Male,NA,NA,NA,NA,NA,NA,Shivsena
Rajput Rajendrasinh Samantsinh,http://myneta.info/Gujarat2017/candidate.php?candidate_id=4903,SIDHPUR,IND,0,12th Pass,1575000,0,1575000,19,GEN,Patan,North Gujarat,false,false,false,Male,NA,NA,NA,NA,NA,NA,Independent
Rajput Saraswatiben Khetsinh,http://myneta.info/Gujarat2017/candidate.php?candidate_id=5224,RAOPURA,Gujarat Jan Chetna Party,0,Graduate,10586409,87146,10499263,144,GEN,Vadodara,Central Gujarat,true,true,false,Female,NA,NA,NA,NA,NA,NA,Gujarat Jan Chetna Party
Rakesh G. Pagi,http://myneta.info/Gujarat2017/candidate.php?candidate_id=4508,PALITANA,Lokshahi Satta Party,0,12th Pass,23000,0,23000,102,GEN,Bhavnagar,Saurashtra,true,true,false,Male,NA,NA,NA,NA,NA,NA,Lokshahi Satta Party
Rakesh Harilal Vasava,http://myneta.info/Gujarat2017/candidate.php?candidate_id=5187,DABHOI,IND,0,12th Pass,125000,0,125000,140,GEN,Vadodara,Central Gujarat,true,true,false,Male,NA,NA,NA,NA,NA,NA,Independent
Rakholiya Bharatbhai Babubhai,http://myneta.info/Gujarat2017/candidate.php?candidate_id=4154,LIMBAYAT,CPI(M),0,5th Pass,282000,0,282000,163,GEN,Surat,South Gujarat,false,true,false,Male,NA,NA,NA,NA,NA,NA,Communist Party of India (Marxist)
Rakshaben Rameshbhai Solanki,http://myneta.info/Gujarat2017/candidate.php?candidate_id=5679,SABARMATI,Democratic Bharatiya Samaj Party,0,5th Pass,700,0,700,55,GEN,Ahmedabad,Central Gujarat,false,false,false,Female,NA,NA,NA,NA,NA,NA,Democratic Bharatiya Samaj Party
Ram Mangal Gadhavi,http://myneta.info/Gujarat2017/candidate.php?candidate_id=4468,ABDASA,IND,0,12th Pass,1046264,394000,652264,1,GEN,Kachchh,Kutch,false,true,false,Male,NA,NA,NA,NA,NA,NA,Independent
Ramanbhai Chimanbhai Vasava,http://myneta.info/Gujarat2017/candidate.php?candidate_id=5250,KARJAN,IND,0,Graduate,1722477,585019,1137458,147,GEN,Vadodara,Central Gujarat,true,true,false,Male,NA,NA,NA,NA,NA,NA,Independent
Ramanbhai Kaljibhai Vaghela,http://myneta.info/Gujarat2017/candidate.php?candidate_id=4837,DHOLKA,IND,0,10th Pass,341000,0,341000,58,GEN,Ahmedabad,Central Gujarat,false,true,false,Male,NA,NA,NA,NA,NA,NA,Independent
Ramanlal Ishwarlal Vora,http://myneta.info/Gujarat2017/candidate.php?candidate_id=3880,DASADA (SC),BJP,0,Graduate,11783801,0,11783801,60,SC,Surendranagar,Saurashtra,true,true,false,Male,http://myneta.info/Gujarat2017/index.php?action=affidavitComparison&myneta_folder2=gujarat2012&id1=3880&id2=1532,11783801,12531369,-747568,-6%,NA,Bharatiya Janata Party
Ramesh Mavabhai Solanki,http://myneta.info/Gujarat2017/candidate.php?candidate_id=4492,GANDHIDHAM (SC),IND,0,Literate,53598,0,53598,5,SC,Kachchh,Kutch,true,true,false,Male,NA,NA,NA,NA,NA,NA,Independent
Rameshbhai Bhurabhai Katara,http://myneta.info/Gujarat2017/candidate.php?candidate_id=4451,FATEPURA (ST),BJP,0,12th Pass,7832543,1100000,6732543,129,ST,Dahod,Central Gujarat,true,true,false,Male,http://myneta.info/Gujarat2017/index.php?action=affidavitComparison&myneta_folder2=gujarat2012&id1=4451&id2=1617,7832543,600000,7232543,1205%,NA,Bharatiya Janata Party
Rameshbhai Bilkarbhai Bhabhor,http://myneta.info/Gujarat2017/candidate.php?candidate_id=5148,FATEPURA (ST),BSP,0,10th Pass,98000,0,98000,129,ST,Dahod,Central Gujarat,false,true,false,Male,NA,NA,NA,NA,NA,NA,Bahujan Samaj Party
Rameshbhai Gokalbhai Vasoya,http://myneta.info/Gujarat2017/candidate.php?candidate_id=3742,JUNAGADH,IND,0,10th Pass,1070997,0,1070997,86,GEN,Junagarh,Saurashtra,false,false,false,Male,NA,NA,NA,NA,NA,NA,Independent
Rameshbhai Naranbhai Metaliya,http://myneta.info/Gujarat2017/candidate.php?candidate_id=3798,BOTAD,IND,0,5th Pass,10012500,0,10012500,107,GEN,Botad,Saurashtra,false,true,false,Male,NA,NA,NA,NA,NA,NA,Independent
Ramjan Bhilubhai Mansuri,http://myneta.info/Gujarat2017/candidate.php?candidate_id=4180,CHORYASI,Yuva Sarkar,0,10th Pass,318000,0,318000,168,GEN,Surat,South Gujarat,false,true,false,Male,NA,NA,NA,NA,NA,NA,Yuva Sarkar
Ramjibhai Kukabhai Sapara,http://myneta.info/Gujarat2017/candidate.php?candidate_id=4528,BOTAD,IND,0,Illiterate,5065000,200000,4865000,107,GEN,Botad,Saurashtra,false,true,false,Male,NA,NA,NA,NA,NA,NA,Independent
Ramoliya Bhupatbhai Bhikhabhai,http://myneta.info/Gujarat2017/candidate.php?candidate_id=4712,VISAVADAR,Sardar Vallabhbhai Patel Party,0,10th Pass,449305,0,449305,87,GEN,Junagarh,Saurashtra,false,true,false,Male,NA,NA,NA,NA,NA,NA,Sardar Vallabhbhai Patel Party
Ramsinh Prabhatsinh Parmar,http://myneta.info/Gujarat2017/candidate.php?candidate_id=4444,THASRA,BJP,0,10th Pass,54410769,0,54410769,119,GEN,Kheda,Central Gujarat,true,true,false,Male,http://myneta.info/Gujarat2017/index.php?action=affidavitComparison&myneta_folder2=gujarat2012&id1=4444&id2=1557,54410769,37646154,16764615,45%,Party in last election was INC,Bharatiya Janata Party
