candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,gender,serious_criminal_cases,declared_pan,filed_itr,party_eci
Bhupender,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3106,DHARAMPUR,CPI(M),3,Post Graduate,3694562,800000,2894562,32,GEN,MANDI,BEAS RIVER REGION,Male,true,true,false,Communist Party of India (Marxist)
Bidhi Chand,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3122,FATEHPUR,IND,0,Post Graduate,10706489,0,10706489,8,GEN,KANGRA,BEAS RIVER REGION,Male,false,true,true,Independent
Bikram Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3151,JASWAN-PRAGPUR,BJP,1,Graduate Professional,7433840,2219713,5214127,11,GEN,KANGRA,BEAS RIVER REGION,Male,false,true,true,Bharatiya Janata Party
Bikram Singh Jaryal,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3071,BHATTIYAT,BJP,1,Graduate,6448000,5000000,1448000,5,GEN,CHAMBA,BEAS RIVER REGION,Male,true,true,true,Bharatiya Janata Party
Bikram Singh Rana,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3075,SULLAH,IND,0,10th Pass,8793116,2604910,6188206,14,GEN,KANGRA,BEAS RIVER REGION,Male,false,true,true,Independent
Bir Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3264,BAIJNATH,IND,0,Graduate,96636,0,96636,20,SC,KANGRA,BEAS RIVER REGION,Male,false,false,false,Independent
Bumber Thakur,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3339,BILASPUR,INC,1,Graduate Professional,44683505,5744834,38938671,48,GEN,BILASPUR,SHIVALIK REGION,Male,false,true,true,Indian National Congress
Chaman Lal,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3273,KARSOG,BSP,0,10th Pass,190120,0,190120,26,SC,MANDI,BEAS RIVER REGION,Male,false,false,false,Bahujan Samaj Party
Champa Thakur,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3199,MANDI,INC,0,Post Graduate,17761708,2383329,15378379,33,GEN,MANDI,BEAS RIVER REGION,Female,false,true,true,Indian National Congress
Chander Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3399,JAWALI,INC,0,Post Graduate,61260532,2099140,59161392,9,GEN,KANGRA,BEAS RIVER REGION,Male,false,true,true,Indian National Congress
Chander Shekhar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3453,DHARAMPUR,INC,0,Graduate Professional,2249357,161000,2088357,32,GEN,MANDI,BEAS RIVER REGION,Male,false,true,true,Indian National Congress
Chet Ram,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3121,SERAJ,INC,0,10th Pass,10404992,708490,9696502,29,GEN,MANDI,BEAS RIVER REGION,Male,false,true,false,Indian National Congress
Churamani,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3283,DARANG,IND,0,10th Pass,3788,0,3788,30,GEN,MANDI,BEAS RIVER REGION,Male,false,false,false,Independent
Deepak Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3365,THEOG,INC,0,Graduate Professional,2100000,0,2100000,61,GEN,SHIMLA,SHIMLA REGION,Male,false,true,false,Indian National Congress
Des Raj,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3456,CHURAH,IND,0,Graduate,12063243,170421,11892822,1,SC,CHAMBA,BEAS RIVER REGION,Male,false,true,true,Independent
Desh Raj,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3290,MANDI,IND,2,Graduate,2396269,675447,1720822,33,GEN,MANDI,BEAS RIVER REGION,Male,false,true,true,Independent
Desh Raj,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3253,SHAHPUR,IND,0,Post Graduate,15599200,1992244,13606956,17,GEN,KANGRA,BEAS RIVER REGION,Male,false,true,true,Independent
Dev Raj Bhardwaj,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3367,KASUMPTI,IND,0,Others,652802017,0,652802017,62,GEN,SHIMLA,SHIMLA REGION,Male,false,true,false,Independent
Devi Ram Sharma,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3363,THEOG,IND,0,Post Graduate,21000000,3900000,17100000,61,GEN,SHIMLA,SHIMLA REGION,Male,false,true,true,Independent
Dhani Ram,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3077,BHORANJ,IND,0,Graduate,3868743,0,3868743,36,SC,HAMIRPUR,SHIVALIK REGION,Male,false,true,true,Independent
Dhani Ram Shandil,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3091,SOLAN,INC,0,Doctorate,10747409,4611108,6136301,53,SC,SOLAN,SHIVALIK REGION,Male,false,true,true,Indian National Congress
Dharam Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3276,SUNDERNAGAR,BSP,0,10th Pass,886357,0,886357,27,GEN,MANDI,BEAS RIVER REGION,Male,false,true,false,Bahujan Samaj Party
Dhavinder Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3094,DALHOUSIE,BJP,2,10th Pass,80987490,9061961,71925529,4,GEN,CHAMBA,BEAS RIVER REGION,Male,false,true,true,Bharatiya Janata Party
Dhian Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3093,DALHOUSIE,CPI,0,10th Pass,12290091,0,12290091,4,GEN,CHAMBA,BEAS RIVER REGION,Male,false,true,true,Communist Party of India
Digvijay Puri,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3258,DHARAMSHALA,IND,0,Graduate,16620000,170000,16450000,18,GEN,KANGRA,BEAS RIVER REGION,Male,false,true,false,Independent
Digvijay Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3449,DHARAMPUR,IND,0,Graduate Professional,32961000,252000,32709000,32,GEN,MANDI,BEAS RIVER REGION,Male,false,true,true,Independent
