candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region
Het Singh Verma,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3286,JOGINDERNAGAR,BSP,0,12th Pass,4524101,0,4524101,31,GEN,MANDI,BEAS RIVER REGION
Hirdaya Ram,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3351,SRI RENUKAJI,IND,0,Graduate Professional,5978664,3000120,2978544,57,SC,SIRMOUR,SHIVALIK REGION
Hoshiar Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3156,JASWAN-PRAGPUR,BSP,0,Post Graduate,4254000,1923000,2331000,11,GEN,KANGRA,BEAS RIVER REGION
Hoshyar Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3104,DEHRA,IND,1,12th Pass,48468980,14060198,34408782,10,GEN,KANGRA,BEAS RIVER REGION
Inder Dutt Lakhanpal,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3063,BARSAR,INC,0,Graduate,44098037,15000000,29098037,39,GEN,HAMIRPUR,SHIVALIK REGION
Inder Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3133,SARKAGHAT,BJP,0,Post Graduate,27844813,1640000,26204813,35,GEN,MANDI,BEAS RIVER REGION
Inder Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3057,BALH,BJP,0,10th Pass,11080083,0,11080083,34,SC,MANDI,BEAS RIVER REGION
Inder Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3369,KASUMPTI,IND,0,8th Pass,440000,250000,190000,62,GEN,SHIMLA,SHIMLA REGION
Inder Singh Thakur,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3119,DOON,IND,0,Post Graduate,4602329,0,4602329,52,GEN,SOLAN,SHIVALIK REGION
Indu Bala,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3174,PALAMPUR,BJP,0,Graduate,8297494,425500,7871994,19,GEN,KANGRA,BEAS RIVER REGION
Jagat Singh Negi,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3390,KINNAUR,INC,0,Graduate Professional,30384449,2380965,28003484,68,ST,KINNAUR,GREATER HIMALAYAS
Jagdish Chand,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3130,SARKAGHAT,IND,0,Post Graduate,6440000,0,6440000,35,GEN,MANDI,BEAS RIVER REGION
Jagjiwan Paul,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3243,SULLAH,INC,0,12th Pass,9438200,3963300,5474900,14,GEN,KANGRA,BEAS RIVER REGION
Jai Chand,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3214,NAHAN,BSP,0,12th Pass,8898702,0,8898702,56,GEN,SIRMOUR,SHIVALIK REGION
Jai Ram Thakur,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3120,SERAJ,BJP,0,Graduate,32799144,1819462,30979682,29,GEN,MANDI,BEAS RIVER REGION
Janam Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3216,BHARMOUR,IND,0,12th Pass,14598674,600000,13998674,2,ST,CHAMBA,BEAS RIVER REGION
Jawahar Thakur,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3099,DARANG,BJP,0,8th Pass,58912992,2500867,56412125,30,GEN,MANDI,BEAS RIVER REGION
Jeet Ram Katwal,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3161,JHANDUTA,BJP,0,Post Graduate,17098264,853593,16244671,46,SC,BILASPUR,SHIVALIK REGION
Jeevan Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3391,KINNAUR,CPI(M),3,12th Pass,113400,0,113400,68,ST,KINNAUR,GREATER HIMALAYAS
Jhabe Ram Kaushal,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3272,BANJAR,BSP,0,Post Graduate,2332000,225000,2107000,24,GEN,KULLU,BEAS RIVER REGION
Jia Lal,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3070,BHARMOUR,BJP,2,10th Pass,8319838,0,8319838,2,ST,CHAMBA,BEAS RIVER REGION
Jit Ram,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3415,MANALI,BSP,0,12th Pass,1065000,50000,1015000,22,GEN,KULLU,BEAS RIVER REGION
Jiwan Lal,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3284,JOGINDERNAGAR,INC,0,Post Graduate,7224105,2048000,5176105,31,GEN,MANDI,BEAS RIVER REGION
Joginder Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3080,SUJANPUR,CPI(M),0,Graduate Professional,7545864,0,7545864,37,GEN,HAMIRPUR,SHIVALIK REGION
Kailash Chand,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3190,KINNAUR,BSP,0,Graduate,3769000,770000,2999000,68,ST,KINNAUR,GREATER HIMALAYAS
Kamal Kant Sharma,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3193,KULLU,IND,0,Graduate Professional,179086673,0,179086673,23,GEN,KULLU,BEAS RIVER REGION
Kamal Kishore,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3147,INDORA,INC,0,Graduate Professional,4959983,865880,4094103,7,SC,KANGRA,BEAS RIVER REGION
Kamal Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3113,DHARAMSHALA,IND,0,Post Graduate,195000,0,195000,18,GEN,KANGRA,BEAS RIVER REGION
Kamal Pathania,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3305,HAMIRPUR,IND,0,12th Pass,32779303,12925000,19854303,38,GEN,HAMIRPUR,SHIVALIK REGION
Kamlesh Kumari,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3078,BHORANJ,BJP,0,10th Pass,2919207,800000,2119207,36,SC,HAMIRPUR,SHIVALIK REGION
Kapoor Chand Choudhary,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3173,PALAMPUR,IND,0,Post Graduate,4535000,0,4535000,19,GEN,KANGRA,BEAS RIVER REGION
Kaul Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3098,DARANG,INC,0,Graduate Professional,80384352,7733319,72651033,30,GEN,MANDI,BEAS RIVER REGION
Kedar Singh Jindan,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3438,SHILLAI,BSP,1,Post Graduate,1165000,0,1165000,59,GEN,SIRMOUR,SHIVALIK REGION
Kehar Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3238,JAISINGHPUR,BSP,0,Doctorate,41500000,0,41500000,13,SC,KANGRA,BEAS RIVER REGION
Keshav Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3392,KASAULI,Swabhiman Party,0,5th Pass,5025000,2000000,3025000,54,SC,SOLAN,SHIVALIK REGION
