candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_assets_change_pct,recontest_remarks,party_eci
Piara Singh,http://myneta.info/hp2012/candidate.php?candidate_id=293,INDORA (SC),BSP,0,10th Pass,9680695,0,9680695,7,SC,KANGRA,BEAS RIVER REGION,false,true,false,Male,NA,NA,NA,NA,NA,NA,Bahujan Samaj Party
Pinki Devi,http://myneta.info/hp2012/candidate.php?candidate_id=165,NAGROTA,BSP,0,5th Pass,1311000,1406457,-95457,15,GEN,KANGRA,BEAS RIVER REGION,false,true,false,Female,NA,NA,NA,NA,NA,NA,Bahujan Samaj Party
Pola Ram,http://myneta.info/hp2012/candidate.php?candidate_id=334,NALAGARH,HLP,0,10th Pass,128000,0,128000,51,GEN,SOLAN,SHIVALIK REGION,false,true,false,Male,NA,NA,NA,NA,NA,NA,Himachal Lokhit Party
Prabhat Singh,http://myneta.info/hp2012/candidate.php?candidate_id=505,JAWALI,IND,0,12th Pass,84998,0,84998,9,GEN,KANGRA,BEAS RIVER REGION,false,false,false,Male,NA,NA,NA,NA,NA,NA,Independent
Prakash,http://myneta.info/hp2012/candidate.php?candidate_id=281,BALH (SC),INC,0,Post Graduate,10887027,1947775,8939252,34,SC,MANDI,BEAS RIVER REGION,true,true,false,Male,http://myneta.info/hp2012/index.php?action=affidavitComparison&myneta_folder2=him2007&id1=281&id2=7,10887027,3410292,7476735,219%,NA,Indian National Congress
Prakash Andta,http://myneta.info/hp2012/candidate.php?candidate_id=393,ROHRU (SC),BSP,0,10th Pass,140000,0,140000,67,SC,SHIMLA,SHIMLA REGION,false,false,false,Male,NA,NA,NA,NA,NA,NA,Bahujan Samaj Party
Prakash Chand,http://myneta.info/hp2012/candidate.php?candidate_id=354,JAWALAMUKHI,BSP,0,Graduate,2814500,300000,2514500,12,GEN,KANGRA,BEAS RIVER REGION,false,false,false,Male,NA,NA,NA,NA,NA,NA,Bahujan Samaj Party
Prakash Chand,http://myneta.info/hp2012/candidate.php?candidate_id=539,BARSAR,AITC,0,Graduate,2970340,0,2970340,39,GEN,HAMIRPUR,SHIVALIK REGION,false,false,false,Male,NA,NA,NA,NA,NA,NA,All India Trinamool Congress
Pramod Singh,http://myneta.info/hp2012/candidate.php?candidate_id=390,THEOG,AITC,0,Doctorate,12761593,3022029,9739564,61,GEN,SHIMLA,SHIMLA REGION,true,true,false,Male,NA,NA,NA,NA,NA,NA,All India Trinamool Congress
Prem Chand Thakur,http://myneta.info/hp2012/candidate.php?candidate_id=140,SHIMLA RURAL,IND,0,Post Graduate,10500,0,10500,64,GEN,SHIMLA,SHIMLA REGION,false,false,false,Male,NA,NA,NA,NA,NA,NA,Independent
Prem Kumar Dhumal,http://myneta.info/hp2012/candidate.php?candidate_id=153,HAMIRPUR,BJP,0,Post Graduate,21156492,0,21156492,38,GEN,HAMIRPUR,SHIVALIK REGION,true,true,false,Male,http://myneta.info/hp2012/index.php?action=affidavitComparison&myneta_folder2=him2007&id1=153&id2=9,21156492,9666510,11489982,119%,PAN is Different,Bharatiya Janata Party
Prem Lata Thakur,http://myneta.info/hp2012/candidate.php?candidate_id=309,KULLU,IND,0,12th Pass,1576432,4963145,-3386713,23,GEN,KULLU,BEAS RIVER REGION,true,true,false,Female,NA,NA,NA,NA,NA,NA,Independent
Prem Singh,http://myneta.info/hp2012/candidate.php?candidate_id=373,SOLAN (SC),HiSP,0,10th Pass,6307000,15000,6292000,53,SC,SOLAN,SHIVALIK REGION,false,false,false,Male,NA,NA,NA,NA,NA,NA,Himachal Swabhiman Party
Prem Singh,http://myneta.info/hp2012/candidate.php?candidate_id=35,KASUMPTI,BJP,0,Illiterate,10327000,570416,9756584,62,GEN,SHIMLA,SHIMLA REGION,true,true,false,Male,NA,NA,NA,NA,NA,NA,Bharatiya Janata Party
Prem Singh Draik,http://myneta.info/hp2012/candidate.php?candidate_id=46,RAMPUR (SC),BJP,0,Post Graduate,14000482,697764,13302718,66,SC,SHIMLA,SHIMLA REGION,true,true,false,Male,NA,NA,NA,NA,NA,NA,Bharatiya Janata Party
Puran Chand Bhatia,http://myneta.info/hp2012/candidate.php?candidate_id=501,SRI NAINA DEVIJI,IND,0,10th Pass,86033,138119,-52086,49,GEN,BILASPUR,SHIVALIK REGION,false,false,false,Male,NA,NA,NA,NA,NA,NA,Independent
