candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_assets_change_pct,recontest_remarks
Takam Sorang,http://myneta.info/an2009/candidate.php?candidate_id=48,Tali,INC,0,Graduate,250000,0,250000,20,ST,NA,NA,,false,false,Male,http://myneta.info/an2009/index.php?action=affidavitComparison&myneta_folder2=an2004&id1=48&id2=48,250000,40132050,-39882050,-99%,
Takam Tagar,http://myneta.info/an2009/candidate.php?candidate_id=45,Palin,PPA,0,10th Pass,2095688494,0,2095688494,18,ST,NA,NA,,false,false,Male,,,,,,
Takar Marde,http://myneta.info/an2009/candidate.php?candidate_id=66,Dumporijo,INC,0,10th Pass,12605375,0,12605375,26,ST,NA,NA,,false,false,Male,http://myneta.info/an2009/index.php?action=affidavitComparison&myneta_folder2=an2004&id1=66&id2=66,12605375,7261103,5344272,74%,Age Difference=7
Takir Kurdu,http://myneta.info/an2009/candidate.php?candidate_id=61,Daporijo,JD (U),0,Graduate,0,0,0,24,ST,NA,NA,,false,false,Male,,,,,,
Tako Dabi,http://myneta.info/an2009/candidate.php?candidate_id=94,Nari Koyu,INC,0,Graduate Professional,26776322,0,26776322,36,ST,NA,NA,,false,false,Male,http://myneta.info/an2009/index.php?action=affidavitComparison&myneta_folder2=an2004&id1=94&id2=106,26776322,7665000,19111322,249%,
Tako Puning,http://myneta.info/an2009/candidate.php?candidate_id=87,Mechuka,AITC,0,10th Pass,8410000,0,8410000,33,ST,NA,NA,,false,false,Male,,,,,,
Talo Mugli,http://myneta.info/an2009/candidate.php?candidate_id=64,Raga,AITC,0,10th Pass,13305000,0,13305000,25,ST,NA,NA,,false,false,Male,,,,,,
Tame Phassang,http://myneta.info/an2009/candidate.php?candidate_id=20,SEPPA EAST,INC,0,Graduate,2030000,0,2030000,10,ST,NA,NA,,false,false,Male,,,,,,
Tami Taniang,http://myneta.info/an2009/candidate.php?candidate_id=29,Itanagar,JD (U),0,8th Pass,3508920,0,3508920,13,ST,NA,NA,,false,false,Male,,,,,,
Tamiyo Taga,http://myneta.info/an2009/candidate.php?candidate_id=81,Rumgong,BJP,0,Graduate,47570000,0,47570000,32,ST,NA,NA,,false,false,Male,,,,,,
Tanga Byaling,http://myneta.info/an2009/candidate.php?candidate_id=53,Nacho,INC,0,10th Pass,6100000,0,6100000,22,ST,NA,NA,,false,false,Male,http://myneta.info/an2009/index.php?action=affidavitComparison&myneta_folder2=an2004&id1=53&id2=54,6100000,1691640,4408360,261%,Age Difference=-1
Tani Loffa,http://myneta.info/an2009/candidate.php?candidate_id=23,SEPPA WEST,AITC,0,10th Pass,6550000,0,6550000,11,ST,NA,NA,,false,false,Male,,,,,,
Tanpho Wangnaw,http://myneta.info/an2009/candidate.php?candidate_id=157,Longding Pumao,PPA,0,Graduate,1725000,0,1725000,59,ST,NA,NA,,false,false,Male,,,,,,
