candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_remarks
KHOR SING ENGTI,http://myneta.info/assam2006/candidate.php?candidate_id=135,Howraghat,INC,0,Graduate,1470191,0,1470191,18,ST,NA,NA,,false,false,Male,,,,,
KULA DAS,http://myneta.info/assam2006/candidate.php?candidate_id=108,Titabar,CPI,0,Graduate,281,0,281,100,GEN,NA,NA,,false,false,Male,,,,,
KUSHAL DOWARI,http://myneta.info/assam2006/candidate.php?candidate_id=217,Thowra,IND,6,10th Pass,14318000,928044,13389956,107,GEN,NA,NA,,true,true,Male,,,,,
KUTUB AHMED MAZUMDER,http://myneta.info/assam2006/candidate.php?candidate_id=27,Sonai,INC,0,Graduate,186000,0,186000,10,GEN,NA,NA,,false,false,Male,,,,,
LAKHESWAR MORAN,http://myneta.info/assam2006/candidate.php?candidate_id=242,Margherita,AGP,0,5th Pass,1095464,374280,721184,124,GEN,NA,NA,,false,false,Male,,,,,
LIAKAT ALI KHAN,http://myneta.info/assam2006/candidate.php?candidate_id=15,Chenga,AGP,0,Graduate,787300,55000,732300,47,GEN,NA,NA,,false,false,Male,,,,,
LOUIS ISLARY,http://myneta.info/assam2006/candidate.php?candidate_id=158,Sidli,IND,0,Post Graduate,377216,0,377216,31,ST,NA,NA,,true,false,Male,,,,,
MADAN KALITA,http://myneta.info/assam2006/candidate.php?candidate_id=200,Nalbari,INC,0,Graduate,5115533,344000,4771533,59,GEN,NA,NA,,true,false,Male,,,,,
MAHESH KUMAR DOLEY,http://myneta.info/assam2006/candidate.php?candidate_id=166,Dhakuakhana,AGP,0,Graduate,85117,0,85117,112,ST,NA,NA,,false,false,Male,,,,,
MAHESWAR BARO,http://myneta.info/assam2006/candidate.php?candidate_id=39,Kalaigaon,IND,1,12th Pass,65000,0,65000,65,GEN,NA,NA,,false,false,Male,,,,,
MAJENDRA NARZARY,http://myneta.info/assam2006/candidate.php?candidate_id=152,Gossaigaon,IND,0,Graduate,839162,25167,813995,28,GEN,NA,NA,,false,false,Male,,,,,
MAMONI BORA,http://myneta.info/assam2006/candidate.php?candidate_id=192,Batadroba,AGP,1,Graduate,855000,50000,805000,84,GEN,NA,NA,,false,false,Female,,,,,
MANESWAR BRAHMA,http://myneta.info/assam2006/candidate.php?candidate_id=205,Barama,IND,0,Graduate,265944,0,265944,62,ST,NA,NA,,true,false,Male,,,,,
MANORANJAN DAS,http://myneta.info/assam2006/candidate.php?candidate_id=6,Patacharkuchi,BJP,0,Post Graduate,3462525,126003,3336522,42,GEN,NA,NA,,true,false,Male,,,,,
MATILAL RAY,http://myneta.info/assam2006/candidate.php?candidate_id=142,Ratabari,AUDF,0,12th Pass,50000,0,50000,1,SC,NA,NA,,false,false,Male,,,,,
