candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_assets_change_pct,recontest_remarks
Dashrath Suryavanshi,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=971,TAKHATPUR,SP,0,5th Pass,3086329,0,3086329,28,GEN,BILASPUR,CHHATTISGARH PLAINS,false,true,false,Male,,,,,,
Daur Khan,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=5,RAJNANDGAON,IND,0,10th Pass,1006500,0,1006500,75,GEN,RAJNANDGAON,CHHATTISGARH PLAINS,false,false,false,Male,,,,,,
Daya Ram Sahu,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=237,DURG-RURAL,BSP,0,Post Graduate,6021213,37444,5983769,63,GEN,DURG,CHHATTISGARH PLAINS,true,true,false,Male,,,,,,
Dayaldas Baghel,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=223,NAWAGARH,BJP,0,8th Pass,13283160,1361524,11921636,70,SC,BEMETARA,CHHATTISGARH PLAINS,false,true,false,Male,http://myneta.info/chhattisgarh2013/index.php?action=affidavitComparison&myneta_folder2=2008Chhattisgarh&id1=223&id2=63,13283160,7091690,6191470,87%,Age Difference=10 PAN was missing last time
Dayaram Sahu,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=734,DHAMTARI,IND,0,12th Pass,9556144,489891,9066253,58,GEN,DHAMTARI,CHHATTISGARH PLAINS,true,true,false,Male,,,,,,
Deendyal Singh Nareti,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=107,BHANUPRATAPPUR,CSM,0,12th Pass,8747416,655100,8092316,80,ST,UTTAR BASTAR KANKER,BASTAR PLATEAU,true,true,false,Male,,,,,,
Deenu Sahu,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=666,PATAN,CSM,0,12th Pass,11119790,1200000,9919790,62,GEN,DURG,CHHATTISGARH PLAINS,true,true,false,Male,,,,,,
Deepak Dubey,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=749,SAKTI,NCP,0,10th Pass,3250000,0,3250000,35,GEN,JANJGIR-CHAMPA,CHHATTISGARH PLAINS,false,false,false,Male,,,,,,
Deepak Kumar Agrawal,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=948,DHAMTARI,LJP,0,10th Pass,1776000,265000,1511000,58,GEN,DHAMTARI,CHHATTISGARH PLAINS,true,true,false,Male,,,,,,
Deepak Kumar Baij,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=18,CHITRAKOT,INC,0,Post Graduate,1053359,0,1053359,87,ST,BASTAR (JAGDALPUR),BASTAR PLATEAU,false,true,false,Male,,,,,,
