candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_assets_change_pct,recontest_remarks
Goutam Deb,http://myneta.info/tripura2018/candidate.php?candidate_id=5783,KHOWAI,AMB,0,10th Pass,51241,0,51241,25,GEN,Khowai,Tripura East,true,true,false,Male,,,,,,
Haralal Debnath,http://myneta.info/tripura2018/candidate.php?candidate_id=5832,MOHANPUR,AMB,0,5th Pass,91320,0,91320,2,GEN,West Tripura,Tripura West,false,true,false,Male,,,,,,
Haricharan Sarkar,http://myneta.info/tripura2018/candidate.php?candidate_id=5833,BAMUTIA,CPI(M),0,Graduate,2196989,577054,1619935,3,SC,West Tripura,Tripura West,false,true,false,Male,http://myneta.info/tripura2018/index.php?action=affidavitComparison&myneta_folder2=tripura2013&id1=5833&id2=110,2196989,2380747,-183758,-8%,
Harish Reang,http://myneta.info/tripura2018/candidate.php?candidate_id=5823,KARBOOK,TPP,0,8th Pass,253000,0,253000,43,ST,Gomati,Tripura East,false,false,false,Male,,,,,,
Hasen Choudhury,http://myneta.info/tripura2018/candidate.php?candidate_id=5965,KAMALPUR,AITC,0,10th Pass,98507,0,98507,45,GEN,Dhalai,Tripura East,false,false,false,Male,,,,,,
Islam Uddin,http://myneta.info/tripura2018/candidate.php?candidate_id=5864,KADAMTALA-KURTI,CPI(M),1,Graduate,746109,273758,472351,54,GEN,North Tripura,Tripura East,false,true,true,Male,,,,,,
Jagadish Das,http://myneta.info/tripura2018/candidate.php?candidate_id=5843,SURYAMANINAGAR,AMB,0,10th Pass,716066,0,716066,18,ST,Sipahijala,Tripura West,false,false,false,Male,,,,,,
Jagadish Debbarma,http://myneta.info/tripura2018/candidate.php?candidate_id=6067,MANDAI BAZAR,Indigenous Nationalist Party of Twipra,0,Graduate,1319000,0,1319000,11,ST,West Tripura,Tripura West,false,true,false,Male,,,,,,
Jahir Uddin,http://myneta.info/tripura2018/candidate.php?candidate_id=6018,DHANPUR,AITC,0,Graduate,14413,0,14413,23,GEN,Sipahijala,Tripura West,false,true,false,Male,,,,,,
Janak Mani Tripura,http://myneta.info/tripura2018/candidate.php?candidate_id=6048,KARBOOK,Indigenous Nationalist Party of Twipra,0,12th Pass,53200,0,53200,43,ST,Gomati,Tripura East,false,true,false,Male,,,,,,
Jashabir Tripura,http://myneta.info/tripura2018/candidate.php?candidate_id=5801,JOLAIBARI,CPI(M),0,8th Pass,3006002,1256596,1749406,38,ST,South Tripura,Tripura East,false,true,false,Male,http://myneta.info/tripura2018/index.php?action=affidavitComparison&myneta_folder2=tripura2013&id1=5801&id2=101,3006002,1514402,1491600,98%,Age Difference=8
Jasim Uddin,http://myneta.info/tripura2018/candidate.php?candidate_id=6015,SONAMURA,AITC,0,Graduate,225960,0,225960,22,GEN,Sipahijala,Tripura West,false,true,false,Male,,,,,,
Jay Kumar Keot,http://myneta.info/tripura2018/candidate.php?candidate_id=5969,SURMA,AITC,0,8th Pass,13065,0,13065,46,SC,Dhalai,Tripura East,false,false,false,Male,,,,,,
Jaydul Hossain,http://myneta.info/tripura2018/candidate.php?candidate_id=5842,BISHALGARH,INC,0,Graduate Professional,5950000,0,5950000,16,GEN,Sipahijala,Tripura West,true,true,false,Male,,,,,,
Jharna Das(Baidya),http://myneta.info/tripura2018/candidate.php?candidate_id=5770,BADHARGHAT,CPI(M),0,Post Graduate,12263318,132000,12131318,14,SC,West Tripura,Tripura West,true,true,false,Female,,,,,,
Jhumu Sarkar,http://myneta.info/tripura2018/candidate.php?candidate_id=5835,BARJALA,CPI(M),0,Post Graduate,50546,0,50546,4,SC,West Tripura,Tripura West,false,true,false,Male,http://myneta.info/tripura2018/index.php?action=affidavitComparison&myneta_folder2=tripura2013&id1=5835&id2=321,50546,71740,-21194,-30%,Age Difference=3
Jishnu Devvarma,http://myneta.info/tripura2018/candidate.php?candidate_id=5919,CHARILAM,BJP,0,Graduate,110738073,3185539,107552534,19,ST,Sipahijala,Tripura West,false,true,false,Male,,,,,,
Jiten Debbarma,http://myneta.info/tripura2018/candidate.php?candidate_id=6013,MANDAI BAZAR,INC,0,10th Pass,275232,0,275232,11,ST,West Tripura,Tripura West,false,false,false,Male,,,,,,
Jitendra Majumder,http://myneta.info/tripura2018/candidate.php?candidate_id=6039,KAKRABAN-SHALGARA,BJP,0,Graduate,4775095,79800000,-75024905,33,SC,Gomati,Tripura West,true,true,false,Male,,,,,,
Jyotilal Debbarma,http://myneta.info/tripura2018/candidate.php?candidate_id=5920,CHARILAM,IND,0,8th Pass,5000,0,5000,19,ST,Sipahijala,Tripura West,false,false,false,Male,,,,,,
Jyotirmoy Nath,http://myneta.info/tripura2018/candidate.php?candidate_id=5998,BAGBASSA,INC,0,Graduate Professional,3000000,0,3000000,55,GEN,North Tripura,Tripura East,false,true,false,Male,,,,,,
Jyotish Jamatia,http://myneta.info/tripura2018/candidate.php?candidate_id=5942,BAGMA,Indigenous Nationalist Party of Twipra,0,Others,940585,0,940585,30,ST,South Tripura,Tripura West,false,true,false,Male,,,,,,
