candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender
REKHCHAND JAIN,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=8,Jagdalpur,INC,0,Post Graduate,6236853,0,6236853,86,GEN,BASTAR (JAGDALPUR),BASTAR PLATEAU,,true,false,Male
REKHRAM CHTURWEDANI,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=580,Abhanpur,IND,0,Not Given,85000,60000,25000,53,GEN,RAIPUR,CHHATTISGARH PLAINS,,false,false,Male
REMIS TIRKEY,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=918,Pathalgaon,CGVP,1,Not Given,1652050,153621,1498429,14,ST,JASHPUR,NOTHERN HILLS,,false,false,Male
RENUDHAR GADMIYA,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=769,Jagdalpur,IND,0,Not Given,63000,0,63000,86,GEN,BASTAR (JAGDALPUR),BASTAR PLATEAU,,false,false,Male
RENUKA SINGH,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=329,Premnagar,BJP,2,12th Pass,6851880,316213,6535667,4,GEN,SURAJPUR,NOTHERN HILLS,,true,true,Female
RITA SINGH GOND,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=374,Bharatpur-Sonhat,LJP,0,5th Pass,95618,0,95618,1,ST,KORIA,NOTHERN HILLS,,false,false,Female
ROHIT KUMAR VERMA,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=685,Bemetara,IND,0,5th Pass,30000,0,30000,69,GEN,BEMETARA,CHHATTISGARH PLAINS,,false,false,Male
ROOPSAN RAM,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=164,Pathalgaon,CPI,0,12th Pass,100000,0,100000,14,ST,JASHPUR,NOTHERN HILLS,,false,false,Male
RUPDHAR SINGH MAJHI (DHRUV),http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=567,Bindranawagarh,CPM,0,12th Pass,20500,0,20500,55,ST,GARIABAND,CHHATTISGARH PLAINS,,false,false,Male
S.D.SONWANI,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=256,Bilaigarh,IND,0,Graduate Professional,11472000,0,11472000,43,SC,BALODABAZAR,CHHATTISGARH PLAINS,,false,false,Male
