candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender
KRISHNA MALLESHAPPA GANDGALEKAR,http://myneta.info/karnatka2008/candidate.php?candidate_id=842,Hubli-Dharwad-Central,RAHS,4,Graduate,1638000,1066000,572000,73,GEN,DHARWAD,BELGAUM DIVISION,,true,false,Male
KRISHNA MURTHY,http://myneta.info/karnatka2008/candidate.php?candidate_id=1444,Mulbagal,IND,0,Not Given,0,0,0,145,SC,KOLAR,BANGALORE DIVISION,,false,false,Male
KRISHNAJI LAXMANRAO KUNDARGI,http://myneta.info/karnatka2008/candidate.php?candidate_id=252,Athani,RAHS,0,Graduate Professional,1010000,28706,981294,3,GEN,BELGAUM,BELGAUM DIVISION,,false,false,Male
KRISHNAMURTHY,http://myneta.info/karnatka2008/candidate.php?candidate_id=1524,Magadi,IND,0,10th Pass,600000,0,600000,182,GEN,RAMANAGARA,BANGALORE DIVISION,,false,false,Male
KRISHNAMURTHY,http://myneta.info/karnatka2008/candidate.php?candidate_id=1607,Shrirangapattana,IND,0,5th Pass,170000,28000,142000,190,GEN,MANDYA,MYSORE DIVISION,,false,false,Male
KRISHNAMURTHY.T,http://myneta.info/karnatka2008/candidate.php?candidate_id=100,Nelamangala,BSP,0,Not Given,1300000,0,1300000,181,SC,BANGALORE RURAL,BANGALORE DIVISION,,false,false,Male
KRISHNAPPA,http://myneta.info/karnatka2008/candidate.php?candidate_id=1389,Bagepalli,IND,0,Not Given,110000,0,110000,140,GEN,CHIKBALLAPUR,BANGALORE DIVISION,,false,false,Male
KRISHNEGOWDA P C,http://myneta.info/karnatka2008/candidate.php?candidate_id=1614,Nagamangala,IND,0,Not Given,0,35000,-35000,191,GEN,MANDYA,MYSORE DIVISION,,false,false,Male
KULKARNI CHANDRASHEKARAIAH GURULINGAIAH,http://myneta.info/karnatka2008/candidate.php?candidate_id=990,Ranibennur,IND,0,Graduate,955000,0,955000,87,GEN,HAVERI,BELGAUM DIVISION,,false,false,Male
KULKARNI SHRIKANTH  SUBBRAO.,http://myneta.info/karnatka2008/candidate.php?candidate_id=23,Jamkhandi,BJP,0,Graduate,11903200,1876000,10027200,21,GEN,BAGALKOT,BELGAUM DIVISION,,false,false,Male
KULKARNI SUVARNA GOVINDARAO,http://myneta.info/karnatka2008/candidate.php?candidate_id=870,Kalghatgi,JD(U),0,Graduate Professional,25000,0,25000,75,GEN,DHARWAD,BELGAUM DIVISION,,false,false,Male
KUMAR KRANTI,http://myneta.info/karnatka2008/candidate.php?candidate_id=1859,T.Narasipur,IND,0,10th Pass,0,0,0,220,SC,MYSORE,MYSORE DIVISION,,false,false,Male
KUMARASWAMY H.K.,http://myneta.info/karnatka2008/candidate.php?candidate_id=1034,Hiriyur,IND,0,Not Given,60000,0,60000,100,GEN,CHITRADURGA,BANGALORE DIVISION,,false,false,Male
KUNHI ABDULLA. K.M.,http://myneta.info/karnatka2008/candidate.php?candidate_id=1740,Virajpet,BSP,0,Graduate,2301135,249331,2051804,209,GEN,KODAGU,MYSORE DIVISION,,true,false,Male
KUNKANADU SHIVAKUMARA,http://myneta.info/karnatka2008/candidate.php?candidate_id=1267,Kadur,BSP,0,Post Graduate,12775000,3350000,9425000,127,GEN,CHICKMAGALUR,MYSORE DIVISION,,false,false,Male
KUPENDRA REDDY.D,http://myneta.info/karnatka2008/candidate.php?candidate_id=117,Bommanahalli,INC,0,Graduate,1783246446,251179826,1532066620,175,GEN,BANGALORE,BANGALORE DIVISION,,true,false,Male
KUPENDRA SHIVARAYA DHULE,http://myneta.info/karnatka2008/candidate.php?candidate_id=630,Aland,SP,0,Graduate,1160000,61150,1098850,46,GEN,GULBARGA,GULBARGA REGION,,false,false,Male
KURUBARA KALENAHALLI KOVI BABANNA,http://myneta.info/karnatka2008/candidate.php?candidate_id=1661,Shravanabelagola,IND,0,Not Given,0,40000,-40000,193,GEN,HASSAN,MYSORE DIVISION,,false,false,Male
KURUBARA KALENAHALLI KOVI BABANNA,http://myneta.info/karnatka2008/candidate.php?candidate_id=1631,Holenarasipur,IND,0,Not Given,0,40000,-40000,197,GEN,HASSAN,MYSORE DIVISION,,false,false,Male
KYATASANDRA N. RAJANNA,http://myneta.info/karnatka2008/candidate.php?candidate_id=1356,Madhugiri,INC,1,Graduate Professional,160678077,5241965,155436112,138,GEN,TUMKUR,BANGALORE DIVISION,,true,false,Male
L H PATIL,http://myneta.info/karnatka2008/candidate.php?candidate_id=1133,Honnali,IND,3,Literate,173500,25000,148500,110,GEN,DAVANAGERE,BANGALORE DIVISION,,false,false,Male
L. NAGARAJU [LNR],http://myneta.info/karnatka2008/candidate.php?candidate_id=1337,Sira,JD(U),0,12th Pass,800000,0,800000,136,GEN,TUMKUR,BANGALORE DIVISION,,false,false,Male
