candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations
KARNADHAN CHAKMA,http://myneta.info/tripura2008/candidate.php?candidate_id=207,Kanchanpur,AMB,0,8th Pass,20000,0,20000,60,ST
KARTIK KANYA DEBBARMA,http://myneta.info/tripura2008/candidate.php?candidate_id=104,Golaghati,IND,0,10th Pass,43606,65455,-21849,17,ST
KEJARI MOG CHOUDHURY,http://myneta.info/tripura2008/candidate.php?candidate_id=259,Jolaibari,IND,1,12th Pass,910800,0,910800,39,ST
KESAB DEBBARMA,http://myneta.info/tripura2008/candidate.php?candidate_id=100,Golaghati,CPM,0,8th Pass,61804,56200,5604,17,ST
KESHAB CHANDRA SARKAR,http://myneta.info/tripura2008/candidate.php?candidate_id=73,Belonia,BJP,0,Graduate,150200,0,150200,36,GEN
KESHAB MAJUMDER,http://myneta.info/tripura2008/candidate.php?candidate_id=296,Kakraban,CPM,0,Graduate Professional,6540442,404000,6136442,34,GEN
KHAGENDRA JAMATIA,http://myneta.info/tripura2008/candidate.php?candidate_id=286,Krishnapur,CPM,0,10th Pass,438658,250768,187890,28,ST
KIRIT BAHAN TRIPURA,http://myneta.info/tripura2008/candidate.php?candidate_id=247,Manu,IND,0,5th Pass,5000,0,5000,40,ST
KIRITI DAS,http://myneta.info/tripura2008/candidate.php?candidate_id=83,Rajnagar,AMB,0,12th Pass,0,0,0,35,SC
KRISHNA JOY REANG,http://myneta.info/tripura2008/candidate.php?candidate_id=62,Ampinagar,IND,0,8th Pass,0,0,0,42,ST
LALIT MOHAN GOSWAMI,http://myneta.info/tripura2008/candidate.php?candidate_id=32,Agartala,AITC,0,10th Pass,1055800,0,1055800,6,GEN
LAXMI KANTA SARKAR,http://myneta.info/tripura2008/candidate.php?candidate_id=292,Teliamura,BJP,0,5th Pass,505000,0,505000,29,GEN
MADHAB CHANDRA SAHA,http://myneta.info/tripura2008/candidate.php?candidate_id=300,Matarbari,CPM,0,12th Pass,4319000,490000,3829000,33,GEN
MADHU SUDHAN BHATTACHARJEE,http://myneta.info/tripura2008/candidate.php?candidate_id=303,Matarbari,BJP,0,5th Pass,1099000,59375,1039625,33,GEN
MANIA DEBBARMA,http://myneta.info/tripura2008/candidate.php?candidate_id=288,Krishnapur,BJP,0,10th Pass,16000,35000,-19000,28,ST
MANIK DEY,http://myneta.info/tripura2008/candidate.php?candidate_id=10,Majlishpur,CPM,0,12th Pass,990506,0,990506,10,GEN
MANIK SARKAR,http://myneta.info/tripura2008/candidate.php?candidate_id=268,Dhanpur,CPM,0,Graduate,811566,0,811566,22,GEN
MANINDRA CHANDRA DAS,http://myneta.info/tripura2008/candidate.php?candidate_id=281,Kalyanpur,CPM,0,Graduate,444909,0,444909,27,GEN
MANINDRA DAS,http://myneta.info/tripura2008/candidate.php?candidate_id=284,Kalyanpur,IND,0,10th Pass,0,0,0,27,GEN
MANINDRA REANG,http://myneta.info/tripura2008/candidate.php?candidate_id=260,Santirbazar,CPI,0,8th Pass,854075,585000,269075,37,ST
